Fecha;Concepto;Detalle;Débito;Crédito;Saldo
23/08/2022;Impuesto Débitos y Créditos/DB;;0,04;;-8.756.571,08
23/08/2022;Impuesto Débitos y Créditos/DB;;9,00;;-8.756.571,04
23/08/2022;Impuesto Débitos y Créditos/DB;;2,76;;-8.756.562,04
23/08/2022;Impuesto Débitos y Créditos/DB;;0,58;;-8.756.559,28
23/08/2022;COMIS.TRANSFERENCIAS;OPERACIÓN 0 GENERADA EL 23/08/22;460,00;;-8.756.558,70
23/08/2022;IVA;OPERACIÓN 0 GENERADA EL 23/08/22;96,60;;-8.756.098,70
23/08/2022;Comisión Consulta Cámara;;35,00;;-8.756.002,10
23/08/2022;IVA;;7,35;;-8.755.967,10
23/08/2022;Transferencia por CBU;CBU:28100012-21001255160014 BENEF: 0-33708528809 REF:VAR-0010001255;1.500.000,00;;-8.755.959,75
23/08/2022;Transferencia por CBU;CBU:01400380-01508005004252 BENEF: 0-33708528809 REF:VAR-5080050042;2.500.000,00;;-7.255.959,75
23/08/2022;Transferencia por CBU;CBU:15000442-00007232143046 BENEF: 0-30682032630 REF:VAR-072321430;2.126.926,81;;-4.755.959,75
23/08/2022;Impuesto Débitos y Créditos/DB;;12.761,56;;-2.629.032,94
23/08/2022;Transferencia por CBU;CBU:15000442-00007232143046 BENEF: 0-30682032630 REF:VAR-072321430;364.358,04;;-2.616.271,38
23/08/2022;Impuesto Débitos y Créditos/DB;;2.186,15;;-2.251.913,34
23/08/2022;Pago de Servicios;654860 IMP.AFIP 0823 16:42 IDENTIFICACION: 3370852880912965790;1.500,00;;-2.249.727,19
23/08/2022;Descto. Docum.- Acreditación;;;18.984.202,73;-2.248.227,19
23/08/2022;IIBB- Acreditaciones Bancarias;;341.715,65;;-21.232.429,92
23/08/2022;Crédito por Transferencia;CAPITAL MARKETS ARG. SA 6 30645852865 REF:VAR-CAPITAL MAR BANCO DE VALORES S.A.;;6.428.100,00;-20.890.714,27
23/08/2022;IIBB- Acreditaciones Bancarias;;115.705,80;;-27.318.814,27
23/08/2022;Impuesto Débitos y Créditos/CR;;38.568,60;;-27.203.108,47
23/08/2022;Impuesto Débitos y Créditos/DB;;694,23;;-27.164.539,87
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304548;180.485,54;;-27.163.845,64
23/08/2022;Impuesto Débitos y Créditos/DB;;1.082,91;;-26.983.360,10
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304555;136.329,72;;-26.982.277,19
23/08/2022;Impuesto Débitos y Créditos/DB;;817,98;;-26.845.947,47
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304559;56.166,86;;-26.845.129,49
23/08/2022;Impuesto Débitos y Créditos/DB;;337,00;;-26.788.962,63
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304562;760.521,77;;-26.788.625,63
23/08/2022;Impuesto Débitos y Créditos/DB;;4.563,13;;-26.028.103,86
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304566;79.874,14;;-26.023.540,73
23/08/2022;Impuesto Débitos y Créditos/DB;;479,24;;-25.943.666,59
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304573;63.229,53;;-25.943.187,35
23/08/2022;Impuesto Débitos y Créditos/DB;;379,38;;-25.879.957,82
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304577;179.111,63;;-25.879.578,44
23/08/2022;Impuesto Débitos y Créditos/DB;;1.074,67;;-25.700.466,81
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304579;72.904,88;;-25.699.392,14
23/08/2022;Impuesto Débitos y Créditos/DB;;437,43;;-25.626.487,26
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304581;240.013,62;;-25.626.049,83
23/08/2022;Impuesto Débitos y Créditos/DB;;1.440,08;;-25.386.036,21
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304586;288.384,90;;-25.384.596,13
23/08/2022;Impuesto Débitos y Créditos/DB;;1.730,31;;-25.096.211,23
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304587;192.256,60;;-25.094.480,92
23/08/2022;Impuesto Débitos y Créditos/DB;;1.153,54;;-24.902.224,32
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304589;111.055,16;;-24.901.070,78
23/08/2022;Impuesto Débitos y Créditos/DB;;666,33;;-24.790.015,62
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304488;79.137,98;;-24.789.349,29
23/08/2022;Impuesto Débitos y Créditos/DB;;474,83;;-24.710.211,31
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304490;72.089,84;;-24.709.736,48
23/08/2022;Impuesto Débitos y Créditos/DB;;432,54;;-24.637.646,64
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304497;58.540,16;;-24.637.214,10
23/08/2022;Impuesto Débitos y Créditos/DB;;351,24;;-24.578.673,94
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304500;112.126,34;;-24.578.322,70
23/08/2022;Impuesto Débitos y Créditos/DB;;672,76;;-24.466.196,36
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304501;74.750,90;;-24.465.523,60
23/08/2022;Impuesto Débitos y Créditos/DB;;448,51;;-24.390.772,70
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304503;69.320,36;;-24.390.324,19
23/08/2022;Impuesto Débitos y Créditos/DB;;415,92;;-24.321.003,83
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304505;75.169,69;;-24.320.587,91
23/08/2022;Impuesto Débitos y Créditos/DB;;451,02;;-24.245.418,22
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304507;74.110,85;;-24.244.967,20
23/08/2022;Impuesto Débitos y Créditos/DB;;444,67;;-24.170.856,35
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304514;26.148,84;;-24.170.411,68
23/08/2022;Impuesto Débitos y Créditos/DB;;156,89;;-24.144.262,84
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304518;72.163,94;;-24.144.105,95
23/08/2022;Impuesto Débitos y Créditos/DB;;432,98;;-24.071.942,01
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304524;102.430,80;;-24.071.509,03
23/08/2022;Impuesto Débitos y Créditos/DB;;614,58;;-23.969.078,23
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304528;101.538,84;;-23.968.463,65
23/08/2022;Impuesto Débitos y Créditos/DB;;609,23;;-23.866.924,81
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304532;89.592,54;;-23.866.315,58
23/08/2022;Impuesto Débitos y Créditos/DB;;537,56;;-23.776.723,04
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304536;56.124,16;;-23.776.185,48
23/08/2022;Impuesto Débitos y Créditos/DB;;336,74;;-23.720.061,32
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304545;24.175,31;;-23.719.724,58
23/08/2022;Impuesto Débitos y Créditos/DB;;145,05;;-23.695.549,27
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1229;153.090,90;;-23.695.404,22
23/08/2022;Impuesto Débitos y Créditos/DB;;918,55;;-23.542.313,32
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1234;182.321,21;;-23.541.394,77
23/08/2022;Impuesto Débitos y Créditos/DB;;1.093,93;;-23.359.073,56
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1257;735.982,46;;-23.357.979,63
23/08/2022;Impuesto Débitos y Créditos/DB;;4.415,89;;-22.621.997,17
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1259;120.526,62;;-22.617.581,28
23/08/2022;Impuesto Débitos y Créditos/DB;;723,16;;-22.497.054,66
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1277;167.755,70;;-22.496.331,50
23/08/2022;Impuesto Débitos y Créditos/DB;;1.006,53;;-22.328.575,80
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1278;167.755,71;;-22.327.569,27
23/08/2022;Impuesto Débitos y Créditos/DB;;1.006,53;;-22.159.813,56
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1286;370.965,60;;-22.158.807,03
23/08/2022;Impuesto Débitos y Créditos/DB;;2.225,79;;-21.787.841,43
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1289;1.594.560,00;;-21.785.615,64
23/08/2022;Impuesto Débitos y Créditos/DB;;9.567,36;;-20.191.055,64
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1304;162.075,02;;-20.181.488,28
23/08/2022;Impuesto Débitos y Créditos/DB;;972,45;;-20.019.413,26
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1351;607.746,08;;-20.018.440,81
23/08/2022;Impuesto Débitos y Créditos/DB;;3.646,48;;-19.410.694,73
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1371;57.783,65;;-19.407.048,25
23/08/2022;Impuesto Débitos y Créditos/DB;;346,70;;-19.349.264,60
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1405;380.291,00;;-19.348.917,90
23/08/2022;Impuesto Débitos y Créditos/DB;;2.281,75;;-18.968.626,90
23/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304451;72.179,40;;-18.966.345,15
23/08/2022;Impuesto Débitos y Créditos/DB;;433,08;;-18.894.165,75
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 744;1.500.000,00;;-18.893.732,67
23/08/2022;Impuesto Débitos y Créditos/DB;;9.000,00;;-17.393.732,67
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1044;102.623,67;;-17.384.732,67
23/08/2022;Impuesto Débitos y Créditos/DB;;615,74;;-17.282.109,00
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1055;308.902,81;;-17.281.493,26
23/08/2022;Impuesto Débitos y Créditos/DB;;1.853,42;;-16.972.590,45
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1074;2.000.000,00;;-16.970.737,03
23/08/2022;Impuesto Débitos y Créditos/DB;;12.000,00;;-14.970.737,03
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1119;2.400.000,00;;-14.958.737,03
23/08/2022;Impuesto Débitos y Créditos/DB;;14.400,00;;-12.558.737,03
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1120;1.000.000,00;;-12.544.337,03
23/08/2022;Impuesto Débitos y Créditos/DB;;6.000,00;;-11.544.337,03
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1145;271.815,26;;-11.538.337,03
23/08/2022;Impuesto Débitos y Créditos/DB;;1.630,89;;-11.266.521,77
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1155;1.500.000,00;;-11.264.890,88
23/08/2022;Impuesto Débitos y Créditos/DB;;9.000,00;;-9.764.890,88
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1184;2.000.000,00;;-9.755.890,88
23/08/2022;Impuesto Débitos y Créditos/DB;;12.000,00;;-7.755.890,88
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1188;705.403,95;;-7.743.890,88
23/08/2022;Impuesto Débitos y Créditos/DB;;4.232,42;;-7.038.486,93
23/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1226;480.172,75;;-7.034.254,51
23/08/2022;Impuesto Débitos y Créditos/DB;;2.881,04;;-6.554.081,76
23/08/2022;SIPAP - Pago Cámara SPV 24 hs.;Número De Cheque: 42304575;18.749,48;;-6.551.200,72
23/08/2022;Impuesto Débitos y Créditos/DB;;112,50;;-6.532.451,24
23/08/2022;SIPAP - Pago Cámara SPV 24 hs.;Número De Cheque: 42304509;67.807,20;;-6.532.338,74
23/08/2022;Impuesto Débitos y Créditos/DB;;406,84;;-6.464.531,54
23/08/2022;SIPAP - Pago Cámara SPV 24 hs.;Número De Cheque: 42304516;29.980,67;;-6.464.124,70
23/08/2022;Impuesto Débitos y Créditos/DB;;179,88;;-6.434.144,03
23/08/2022;SIPAP - Pago Cámara SPV 24 hs.;Número De Cheque: 42304596;217.833,23;;-6.433.964,15
23/08/2022;Impuesto Débitos y Créditos/DB;;1.307,00;;-6.216.130,92
22/08/2022;Impuesto Débitos y Créditos/DB;;2,07;;-6.214.823,92
22/08/2022;Impuesto Débitos y Créditos/DB;;0,43;;-6.214.821,85
22/08/2022;Impuesto Débitos y Créditos/DB;;0,21;;-6.214.821,42
22/08/2022;Impuesto Débitos y Créditos/DB;;0,04;;-6.214.821,21
22/08/2022;Impuesto Débitos y Créditos/DB;;1,80;;-6.214.821,17
22/08/2022;Impuesto Débitos y Créditos/DB;;0,38;;-6.214.819,37
22/08/2022;COMIS.TRANSFERENCIAS;OPERACIÓN 0 GENERADA EL 22/08/22;345,00;;-6.214.818,99
22/08/2022;IVA;OPERACIÓN 0 GENERADA EL 22/08/22;72,45;;-6.214.473,99
22/08/2022;Comisión Consulta Cámara;;35,00;;-6.214.401,54
22/08/2022;IVA;;7,35;;-6.214.366,54
22/08/2022;Comisión Riesgo Contigente;;300,00;;-6.214.359,19
22/08/2022;IVA;;63,00;;-6.214.059,19
22/08/2022;Acreditación Cheque Dep.48 Hs.;Número De Cheque: 9357772;;50.000,00;-6.213.996,19
22/08/2022;Impuesto Débitos y Créditos/CR;;300,00;;-6.263.996,19
22/08/2022;Impuesto Débitos y Créditos/DB;;5,40;;-6.263.696,19
22/08/2022;IIBB- Acreditaciones Bancarias;;900,00;;-6.263.690,79
22/08/2022;Transferencia por CBU;CBU:01400380-01508005004252 BENEF: 0-33708528809 REF:VAR-5080050042;2.000.000,00;;-6.262.790,79
22/08/2022;Transferencia por CBU;CBU:15000442-00007232143046 BENEF: 0-30682032630 REF:VAR-072321430;2.291.836,79;;-4.262.790,79
22/08/2022;Impuesto Débitos y Créditos/DB;;13.751,02;;-1.970.954,00
22/08/2022;Debito Transf. HomeBanking;;1.900.000,00;;-1.957.202,98
22/08/2022;Impuesto Débitos y Créditos/DB;;11.400,00;;-57.202,98
22/08/2022;Transferencia por CBU;CBU:00700511-20000006153566 BENEF: 0-33708528809 REF:VAR-0006153505;14.500.000,00;;-45.802,98
22/08/2022;CRED BCA ELECTR INTERBANC EXEN;CUENTAS PROPIAS 33708528809 IFLOW S.A.  Referencia: 8807873;;38.500.000,00;14.454.197,02
22/08/2022;Trf. Masivas Pago Proveedores;CBU:01700053-20000002864037 BENEF: 0-20325072637 REF:VAR-005028640 Referencia: 2202179337;162.558,00;;-24.045.802,98
22/08/2022;Impuesto Débitos y Créditos/DB;;975,35;;-23.883.244,98
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1384;197.718,72;;-23.882.269,63
22/08/2022;Impuesto Débitos y Créditos/DB;;1.186,31;;-23.684.550,91
22/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304429;86.065,48;;-23.683.364,60
22/08/2022;Impuesto Débitos y Créditos/DB;;516,39;;-23.597.299,12
22/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304487;118.706,98;;-23.596.782,73
22/08/2022;Impuesto Débitos y Créditos/DB;;712,24;;-23.478.075,75
22/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304543;116.321,04;;-23.477.363,51
22/08/2022;Impuesto Débitos y Créditos/DB;;697,93;;-23.361.042,47
22/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304592;25.877,25;;-23.360.344,54
22/08/2022;Impuesto Débitos y Créditos/DB;;155,26;;-23.334.467,29
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 743;1.500.000,00;;-23.334.312,03
22/08/2022;Impuesto Débitos y Créditos/DB;;9.000,00;;-21.834.312,03
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1075;2.000.000,00;;-21.825.312,03
22/08/2022;Impuesto Débitos y Créditos/DB;;12.000,00;;-19.825.312,03
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1121;1.000.000,00;;-19.813.312,03
22/08/2022;Impuesto Débitos y Créditos/DB;;6.000,00;;-18.813.312,03
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1179;149.203,05;;-18.807.312,03
22/08/2022;Impuesto Débitos y Créditos/DB;;895,22;;-18.658.108,98
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1185;2.000.000,00;;-18.657.213,76
22/08/2022;Impuesto Débitos y Créditos/DB;;12.000,00;;-16.657.213,76
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1208;50.490,00;;-16.645.213,76
22/08/2022;Impuesto Débitos y Créditos/DB;;302,94;;-16.594.723,76
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1232;239.927,77;;-16.594.420,82
22/08/2022;Impuesto Débitos y Créditos/DB;;1.439,57;;-16.354.493,05
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1235;182.321,21;;-16.353.053,48
22/08/2022;Impuesto Débitos y Créditos/DB;;1.093,93;;-16.170.732,27
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1249;527.483,52;;-16.169.638,34
22/08/2022;Impuesto Débitos y Créditos/DB;;3.164,90;;-15.642.154,82
22/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1367;696.328,00;;-15.638.989,92
22/08/2022;Impuesto Débitos y Créditos/DB;;4.177,97;;-14.942.661,92
19/08/2022;Impuesto Débitos y Créditos/DB;;23,50;;-14.938.483,95
19/08/2022;Impuesto Débitos y Créditos/DB;;0,21;;-14.938.460,45
19/08/2022;Impuesto Débitos y Créditos/DB;;0,04;;-14.938.460,24
19/08/2022;Impuesto Débitos y Créditos/DB;;3,45;;-14.938.460,20
19/08/2022;Impuesto Débitos y Créditos/DB;;0,72;;-14.938.456,75
19/08/2022;COMIS.TRANSFERENCIAS;OPERACIÓN 0 GENERADA EL 19/08/22;575,00;;-14.938.456,03
19/08/2022;IVA;OPERACIÓN 0 GENERADA EL 19/08/22;120,75;;-14.937.881,03
19/08/2022;Cobro Percepción IIBB;OPERACIÓN 0 GENERADA EL 19/08/22;0,58;;-14.937.760,28
19/08/2022;Comisión Consulta Cámara;;35,00;;-14.937.759,70
19/08/2022;IVA;;7,35;;-14.937.724,70
19/08/2022;Trf. Pago.Prov-Terceros O/Bcos;30500768262 MOLFINO HERMANOS REF: PAGO A PROVEED.;;2.381.106,65;-14.937.717,35
19/08/2022;Impuesto Débitos y Créditos/CR;;14.286,64;;-17.318.824,00
19/08/2022;Impuesto Débitos y Créditos/DB;;257,16;;-17.304.537,36
19/08/2022;IIBB- Acreditaciones Bancarias;;42.859,92;;-17.304.280,20
19/08/2022;Transferencia por CBU;CBU:19101974-55019701718132 BENEF: 0-33708528809 REF:VAR-1911970171;3.000.000,00;;-17.261.420,28
19/08/2022;Transferencia por CBU;CBU:01100365-20003600344442 BENEF: 0-33708528809 REF:VAR-2620036003;6.100.000,00;;-14.261.420,28
19/08/2022;Transferencia por CBU;CBU:15000442-00007232143046 BENEF: 0-30682032630 REF:VAR-072321430;1.411.859,37;;-8.161.420,28
19/08/2022;Impuesto Débitos y Créditos/DB;;8.471,16;;-6.749.560,91
19/08/2022;Transferencia por CBU;CBU:15000442-00007232143046 BENEF: 0-30682032630 REF:VAR-072321430;2.493.391,81;;-6.741.089,75
19/08/2022;Impuesto Débitos y Créditos/DB;;14.960,35;;-4.247.697,94
19/08/2022;Trf. Masivas Pago Proveedores;CBU:07201444-88000036425590 BENEF: 0-23270227279 REF:VAR-1440036425 Referencia: 61815;27.022,50;;-4.232.737,59
19/08/2022;Impuesto Débitos y Créditos/DB;;162,14;;-4.205.715,09
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400298-03505557835185 BENEF: 0-27360217162 REF:VAR-5055578351 Referencia: 61814;9.134,00;;-4.205.552,95
19/08/2022;Impuesto Débitos y Créditos/DB;;54,80;;-4.196.418,95
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01404542-03686050391263 BENEF: 0-20389358208 REF:VAR-6860503912 Referencia: 61813;88.000,00;;-4.196.364,15
19/08/2022;Impuesto Débitos y Créditos/DB;;528,00;;-4.108.364,15
19/08/2022;Trf. Masivas Pago Proveedores;CBU:00702098-30004000604195 BENEF: 0-20269521253 REF:VAR-4000604120 Referencia: 61811;110.262,00;;-4.107.836,15
19/08/2022;Impuesto Débitos y Créditos/DB;;661,57;;-3.997.574,15
19/08/2022;Trf. Masivas Pago Proveedores;CBU:07205026-88000035319304 BENEF: 0-20241660568 REF:VAR-5020035319 Referencia: 61812;196.285,17;;-3.996.912,58
19/08/2022;Impuesto Débitos y Créditos/DB;;1.177,71;;-3.800.627,41
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01509209-01000114584693 BENEF: 0-20160581434 REF:VAR-0920011145 Referencia: 61810;118.376,06;;-3.799.449,70
19/08/2022;Impuesto Débitos y Créditos/DB;;710,26;;-3.681.073,64
19/08/2022;CRED BCA ELECTRONICA INTERBANC;PROVEEDORES 30716575477 GASTRONOMIA EMPRENDIMIENTOS S  Referencia: 2461333;;6.679.929,03;-3.680.363,38
19/08/2022;IIBB- Acreditaciones Bancarias;;120.238,72;;-10.360.292,41
19/08/2022;Impuesto Débitos y Créditos/CR;;40.079,57;;-10.240.053,69
19/08/2022;Impuesto Débitos y Créditos/DB;;721,43;;-10.199.974,12
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01703311-40000049323959 BENEF: 0-27342643162 REF:VAR-331493239 Referencia: FRANCES;50.000,00;;-10.199.252,69
19/08/2022;Impuesto Débitos y Créditos/DB;;300,00;;-10.149.252,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053703295 BENEF: 0-20237018479 REF:VAR-5080537032 Referencia: BAPRO;10.000,00;;-10.148.952,69
19/08/2022;Impuesto Débitos y Créditos/DB;;60,00;;-10.138.952,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508052990399 BENEF: 0-20356078536 REF:VAR-5080529903 Referencia: BAPRO;15.000,00;;-10.138.892,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-10.123.892,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508052932948 BENEF: 0-20386716871 REF:VAR-5080529329 Referencia: BAPRO;15.000,00;;-10.123.802,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-10.108.802,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508052990719 BENEF: 0-20300382119 REF:VAR-5080529907 Referencia: BAPRO;15.000,00;;-10.108.712,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-10.093.712,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508052977107 BENEF: 0-20318273201 REF:VAR-5080529771 Referencia: BAPRO;15.000,00;;-10.093.622,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-10.078.622,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400915-03710250971775 BENEF: 0-20299291414 REF:VAR-7102509717 Referencia: BAPRO;15.000,00;;-10.078.532,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-10.063.532,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400038-03400350881352 BENEF: 0-27149517540 REF:VAR-4003508813 Referencia: BAPRO;80.000,00;;-10.063.442,69
19/08/2022;Impuesto Débitos y Créditos/DB;;480,00;;-9.983.442,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053678160 BENEF: 0-20367160706 REF:VAR-5080536781 Referencia: BAPRO;20.000,00;;-9.982.962,69
19/08/2022;Impuesto Débitos y Créditos/DB;;120,00;;-9.962.962,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053677945 BENEF: 0-20278477585 REF:VAR-5080536779 Referencia: BAPRO;10.000,00;;-9.962.842,69
19/08/2022;Impuesto Débitos y Créditos/DB;;60,00;;-9.952.842,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508052979233 BENEF: 0-20381471056 REF:VAR-5080529792 Referencia: BAPRO;15.000,00;;-9.952.782,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-9.937.782,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508051090786 BENEF: 0-20292981393 REF:VAR-5080510907 Referencia: BAPRO;15.000,00;;-9.937.692,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-9.922.692,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508052979318 BENEF: 0-20228417700 REF:VAR-5080529793 Referencia: BAPRO;15.000,00;;-9.922.602,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-9.907.602,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053146661 BENEF: 0-20341025223 REF:VAR-5080531466 Referencia: BAPRO;10.000,00;;-9.907.512,69
19/08/2022;Impuesto Débitos y Créditos/DB;;60,00;;-9.897.512,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053704182 BENEF: 0-20338621257 REF:VAR-5080537041 Referencia: BAPRO;15.000,00;;-9.897.452,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-9.882.452,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508052979400 BENEF: 0-20383268177 REF:VAR-5080529794 Referencia: BAPRO;15.000,00;;-9.882.362,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-9.867.362,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053678672 BENEF: 0-23354191679 REF:VAR-5080536786 Referencia: BAPRO;15.000,00;;-9.867.272,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-9.852.272,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053704694 BENEF: 0-20376695132 REF:VAR-5080537046 Referencia: BAPRO;50.000,00;;-9.852.182,69
19/08/2022;Impuesto Débitos y Créditos/DB;;300,00;;-9.802.182,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053736549 BENEF: 0-27290941070 REF:VAR-5080537365 Referencia: BAPRO;10.000,00;;-9.801.882,69
19/08/2022;Impuesto Débitos y Créditos/DB;;60,00;;-9.791.882,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053736549 BENEF: 0-27290941070 REF:VAR-5080537365 Referencia: BAPRO;10.000,00;;-9.791.822,69
19/08/2022;Impuesto Débitos y Créditos/DB;;60,00;;-9.781.822,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508052993060 BENEF: 0-23266536569 REF:VAR-5080529930 Referencia: BAPRO;15.000,00;;-9.781.762,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-9.766.762,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508052978001 BENEF: 0-20207154459 REF:VAR-5080529780 Referencia: BAPRO;10.000,00;;-9.766.672,69
19/08/2022;Impuesto Débitos y Créditos/DB;;60,00;;-9.756.672,69
19/08/2022;Trf. Masivas Pago Proveedores;CBU:01400380-03508053222947 BENEF: 0-20266918896 REF:VAR-5080532229 Referencia: BAPRO;15.000,00;;-9.756.612,69
19/08/2022;Impuesto Débitos y Créditos/DB;;90,00;;-9.741.612,69
