fecha,concepto_supervielle,concepto_astor,codigo,debito,credito,saldo,objetivo
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"196.285,17",,"-3.996.912,58",Trf. Masivas Pago Proveedores - CBU:07205026-88000035319304 BENEF: 0-20241660568 REF:VAR-5020035319 Referencia: 61812
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.177,71",,"-3.800.627,41",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"118.376,06",,"-3.799.449,70",Trf. Masivas Pago Proveedores - CBU:01509209-01000114584693 BENEF: 0-20160581434 REF:VAR-0920011145 Referencia: 61810
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"710,26",,"-3.681.073,64",
19/08/2022,CRED BCA ELECTRONICA INTERBANC,TRANSFERENCIA,12,,"6.679.929,03","-3.680.363,38",CRED BCA ELECTRONICA INTERBANC - PROVEEDORES 30716575477 GASTRONOMIA EMPRENDIMIENTOS S  Referencia: 2461333
19/08/2022,IIBB- Acreditaciones Bancarias,IIBB,3,"120.238,72",,"-10.360.292,41",
19/08/2022,Impuesto Débitos y Créditos/CR,IMPUESTOS CREDITOS,4,"40.079,57",,"-10.240.053,69",
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"721,43",,"-10.199.974,12",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"50.000,00",,"-10.199.252,69",Trf. Masivas Pago Proveedores - CBU:01703311-40000049323959 BENEF: 0-27342643162 REF:VAR-331493239 Referencia: FRANCES
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"300,00",,"-10.149.252,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-10.148.952,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053703295 BENEF: 0-20237018479 REF:VAR-5080537032 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-10.138.952,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-10.138.892,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052990399 BENEF: 0-20356078536 REF:VAR-5080529903 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-10.123.892,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-10.123.802,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052932948 BENEF: 0-20386716871 REF:VAR-5080529329 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-10.108.802,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-10.108.712,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052990719 BENEF: 0-20300382119 REF:VAR-5080529907 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-10.093.712,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-10.093.622,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052977107 BENEF: 0-20318273201 REF:VAR-5080529771 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-10.078.622,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-10.078.532,69",Trf. Masivas Pago Proveedores - CBU:01400915-03710250971775 BENEF: 0-20299291414 REF:VAR-7102509717 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-10.063.532,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"80.000,00",,"-10.063.442,69",Trf. Masivas Pago Proveedores - CBU:01400038-03400350881352 BENEF: 0-27149517540 REF:VAR-4003508813 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"480,00",,"-9.983.442,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"20.000,00",,"-9.982.962,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053678160 BENEF: 0-20367160706 REF:VAR-5080536781 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"120,00",,"-9.962.962,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.962.842,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053677945 BENEF: 0-20278477585 REF:VAR-5080536779 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.952.842,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.952.782,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052979233 BENEF: 0-20381471056 REF:VAR-5080529792 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.937.782,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.937.692,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508051090786 BENEF: 0-20292981393 REF:VAR-5080510907 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.922.692,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.922.602,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052979318 BENEF: 0-20228417700 REF:VAR-5080529793 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.907.602,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.907.512,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053146661 BENEF: 0-20341025223 REF:VAR-5080531466 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.897.512,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.897.452,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053704182 BENEF: 0-20338621257 REF:VAR-5080537041 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.882.452,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.882.362,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052979400 BENEF: 0-20383268177 REF:VAR-5080529794 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.867.362,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.867.272,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053678672 BENEF: 0-23354191679 REF:VAR-5080536786 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.852.272,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"50.000,00",,"-9.852.182,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053704694 BENEF: 0-20376695132 REF:VAR-5080537046 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"300,00",,"-9.802.182,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.801.882,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053736549 BENEF: 0-27290941070 REF:VAR-5080537365 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.791.882,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.791.822,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053736549 BENEF: 0-27290941070 REF:VAR-5080537365 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.781.822,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.781.762,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052993060 BENEF: 0-23266536569 REF:VAR-5080529930 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.766.762,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.766.672,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052978001 BENEF: 0-20207154459 REF:VAR-5080529780 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.756.672,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.756.612,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053222947 BENEF: 0-20266918896 REF:VAR-5080532229 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.741.612,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.741.522,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053000617 BENEF: 0-20928357113 REF:VAR-5080530006 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.726.522,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.726.432,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053193902 BENEF: 0-20327653270 REF:VAR-5080531939 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.716.432,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.716.372,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508051095316 BENEF: 0-20313757499 REF:VAR-5080510953 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.706.372,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.706.312,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508051179412 BENEF: 0-27366889618 REF:VAR-5080511794 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.691.312,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.691.222,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053677518 BENEF: 0-20177014657 REF:VAR-5080536775 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.676.222,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.676.132,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052977374 BENEF: 0-20331188035 REF:VAR-5080529773 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.661.132,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"8.000,00",,"-9.661.042,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053705901 BENEF: 0-23234477609 REF:VAR-5080537059 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"48,00",,"-9.653.042,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.652.994,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053707600 BENEF: 0-27344725913 REF:VAR-5080537076 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.637.994,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.637.904,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508053703370 BENEF: 0-20244577025 REF:VAR-5080537033 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.627.904,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.627.844,69",Trf. Masivas Pago Proveedores - CBU:01400380-03508052990986 BENEF: 0-20368242676 REF:VAR-5080529909 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.612.844,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"256.649,00",,"-9.612.754,69",Trf. Masivas Pago Proveedores - CBU:07202218-88000044038504 BENEF: 0-20426749646 REF:VAR-2210044038 Referencia: TRANSFEREN
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.539,89",,"-9.356.105,69",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.354.565,80",Trf. Masivas Pago Proveedores - CBU:01400380-03508051091246 BENEF: 0-20314918607 REF:VAR-5080510912 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.339.565,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"35.000,00",,"-9.339.475,80",Trf. Masivas Pago Proveedores - CBU:02900612-10000569494543 BENEF: 0-20360240399 REF:VAR-0004061000 Referencia: CIUDAD
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"210,00",,"-9.304.475,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.304.265,80",Trf. Masivas Pago Proveedores - CBU:02900612-10000569494307 BENEF: 0-20321796266 REF:VAR-0004061000 Referencia: CIUDAD
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.289.265,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.289.175,80",Trf. Masivas Pago Proveedores - CBU:02900612-10000539397607 BENEF: 0-20245354674 REF:VAR-0004061000 Referencia: CIUDAD
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.274.175,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.274.085,80",Trf. Masivas Pago Proveedores - CBU:02900612-10000539398211 BENEF: 0-23386062609 REF:VAR-0004061000 Referencia: CIUDAD
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.259.085,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"20.000,00",,"-9.258.995,80",Trf. Masivas Pago Proveedores - CBU:02900612-10000534520325 BENEF: 0-20271870567 REF:VAR-0004061000 Referencia: CIUDAD
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"120,00",,"-9.238.995,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.238.875,80",Trf. Masivas Pago Proveedores - CBU:02900612-10000533237907 BENEF: 0-23226895604 REF:VAR-0004061000 Referencia: CIUDAD
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.228.875,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"20.000,00",,"-9.228.815,80",Trf. Masivas Pago Proveedores - CBU:01400380-03508052979158 BENEF: 0-27289014905 REF:VAR-5080529791 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"120,00",,"-9.208.815,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.208.695,80",Trf. Masivas Pago Proveedores - CBU:01400380-03508053093875 BENEF: 0-20365618187 REF:VAR-5080530938 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.193.695,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.193.605,80",Trf. Masivas Pago Proveedores - CBU:01400380-03508053677785 BENEF: 0-20244105263 REF:VAR-5080536777 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.178.605,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.178.515,80",Trf. Masivas Pago Proveedores - CBU:01400380-03508052933910 BENEF: 0-20354297443 REF:VAR-5080529339 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.168.515,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.168.455,80",Trf. Masivas Pago Proveedores - CBU:01400380-03508053707365 BENEF: 0-27318830059 REF:VAR-5080537073 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.153.455,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.153.365,80",Trf. Masivas Pago Proveedores - CBU:01400380-03508053705826 BENEF: 0-20481747407 REF:VAR-5080537058 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.143.365,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"75.000,00",,"-9.143.305,80",Trf. Masivas Pago Proveedores - CBU:01400380-03508053705741 BENEF: 0-20481747393 REF:VAR-5080537057 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"450,00",,"-9.068.305,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.067.855,80",Trf. Masivas Pago Proveedores - CBU:01400380-03508051095231 BENEF: 0-20271566086 REF:VAR-5080510952 Referencia: BAPRO
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.057.855,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.057.795,80",Trf. Masivas Pago Proveedores - CUIT: 20346726823 BENEF: ZALAZAR SANTIAGO Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.042.795,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-9.042.705,80",Trf. Masivas Pago Proveedores - CUIT: 20332050959 BENEF: BARRAZA RODRIGO Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-9.032.705,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.032.645,80",Trf. Masivas Pago Proveedores - CUIT: 20291803890 BENEF: ALFARO JOSE Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.017.645,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.017.555,80",Trf. Masivas Pago Proveedores - CUIT: 20304278081 BENEF: ACUNA PABLO Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-9.002.555,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-9.002.465,80",Trf. Masivas Pago Proveedores - CUIT: 20273077805 BENEF: ALVAREZ MAURO Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-8.987.465,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-8.987.375,80",Trf. Masivas Pago Proveedores - CUIT: 20327635388 BENEF: JUMILLA RODRIGO Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-8.977.375,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-8.977.315,80",Trf. Masivas Pago Proveedores - CUIT: 23333659069 BENEF: PETITTO DANIEL Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-8.967.315,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"30.000,00",,"-8.967.255,80",Trf. Masivas Pago Proveedores - CUIT: 23226993614 BENEF: VERGARA CINTIA Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"180,00",,"-8.937.255,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"20.000,00",,"-8.937.075,80",Trf. Masivas Pago Proveedores - CUIT: 27282325131 BENEF: ARDILES ANALIA Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"120,00",,"-8.917.075,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-8.916.955,80",Trf. Masivas Pago Proveedores - CUIT: 23277467429 BENEF: GRACIANO JAVIER Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-8.901.955,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-8.901.865,80",Trf. Masivas Pago Proveedores - CUIT: 20389565211 BENEF: BENITEZ DIEGO Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-8.886.865,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"15.000,00",,"-8.886.775,80",Trf. Masivas Pago Proveedores - CUIT: 20170173806 BENEF: RIBAROLA MIGUEL Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"90,00",,"-8.871.775,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"60.000,00",,"-8.871.685,80",Trf. Masivas Pago Proveedores - CUIT: 20268642243 BENEF: MENENDEZ SEBASTIAN Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"360,00",,"-8.811.685,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.000,00",,"-8.811.325,80",Trf. Masivas Pago Proveedores - CUIT: 20149415883 BENEF: ACOSTA ALFREDO Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"60,00",,"-8.801.325,80",
19/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"20.000,00",,"-8.801.265,80",Trf. Masivas Pago Proveedores - CUIT: 27404751722 BENEF: RODRIGUEZ MICAELA Referencia: SUPERVIELLE
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"120,00",,"-8.781.265,80",
19/08/2022,Debito Transf. HomeBanking,TRANSFERENCIA,12,"470.000,00",,"-8.781.145,80",Debito Transf. HomeBanking - 
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"2.820,00",,"-8.311.145,80",
19/08/2022,Debito Transf. HomeBanking,TRANSFERENCIA,12,"830.000,00",,"-8.308.325,80",Debito Transf. HomeBanking - 
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"4.980,00",,"-7.478.325,80",
19/08/2022,Transferencia por CBU,TRANSFERENCIA,12,"1.270.000,00",,"-7.473.345,80",Transferencia por CBU - CBU:03400579-00570008468008 BENEF: 0-30704459099 REF:VAR-0575700084
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"7.620,00",,"-6.203.345,80",
19/08/2022,Descto. Docum.- Acreditación,OPERACIONES FINANCIERAS,8,,"21.714.752,75","-6.195.725,80",Descto. Docum.- Acreditación - 
19/08/2022,IIBB- Acreditaciones Bancarias,IIBB,3,"390.865,55",,"-27.910.478,55",
19/08/2022,Intereses de Sobregiro,INTERESES,6,"149.963,93",,"-27.519.613,00",Intereses de Sobregiro - OPERACIÓN 1702869 GENERADA EL 19/08/22
19/08/2022,Intereses de Sobregiro,INTERESES,6,"39.185,11",,"-27.369.649,07",Intereses de Sobregiro - OPERACIÓN 1704907 GENERADA EL 19/08/22
19/08/2022,IVA,IVA,7,"15.746,21",,"-27.330.463,96",
19/08/2022,IVA,IVA,7,"4.114,44",,"-27.314.717,75",
19/08/2022,Percepción I.V.A. RG. 3337,PERC. IVA,9,"2.249,46",,"-27.310.603,31",
19/08/2022,Percepción I.V.A. RG. 3337,PERC. IVA,9,"587,78",,"-27.308.353,85",
19/08/2022,Cobro Percepción IIBB,IIBB,3,"149,96",,"-27.307.766,07",
19/08/2022,Cobro Percepción IIBB,IIBB,3,"39,19",,"-27.307.616,11",
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"899,78",,"-27.307.576,92",
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"235,11",,"-27.306.677,14",
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"94,48",,"-27.306.442,03",
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"24,69",,"-27.306.347,55",
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"13,50",,"-27.306.322,86",
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"3,53",,"-27.306.309,36",
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"0,90",,"-27.306.305,83",
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"0,24",,"-27.306.304,93",
19/08/2022,IMPUESTO A LOS SELLOS,SELLOS,10,"3.916,12",,"-27.306.304,69",
19/08/2022,SIPAP - Pago Cheque de Cámara,CHEQUE,1,"15.904,81",,"-27.302.388,57",SIPAP - Pago Cheque de Cámara - Número De Cheque: 42304386
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"95,43",,"-27.286.483,76",
19/08/2022,SIPAP - Pago Cheque de Cámara,CHEQUE,1,"103.980,55",,"-27.286.388,33",SIPAP - Pago Cheque de Cámara - Número De Cheque: 42304502
19/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"623,88",,"-27.182.407,78",
